Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
male,group E,bachelor's degree,standard,completed,married,never,yes,4,private,5 - 10,80,74,75
male,group B,some college,free/reduced,none,married,sometimes,no,2,private,> 10,63,70,64
female,group E,some college,free/reduced,none,married,never,yes,0,school_bus,> 10,54,67,71
female,group B,bachelor's degree,free/reduced,completed,married,never,yes,4,private,5 - 10,73,66,71
female,group E,bachelor's degree,free/reduced,completed,married,sometimes,no,4,private,> 10,85,74,87
male,group B,bachelor's degree,free/reduced,completed,single,never,yes,3,school_bus,> 10,79,78,83
male,group C,bachelor's degree,free/reduced,none,married,sometimes,no,3,private,5 - 10,69,75,78
male,group B,high school,standard,none,single,never,yes,2,private,> 10,67,72,80
male,group B,bachelor's degree,standard,none,single,never,no,4,school_bus,> 10,72,73,73
male,group C,bachelor's degree,standard,completed,married,regularly,yes,4,private,5 - 10,78,76,84
female,group E,high school,standard,none,single,never,yes,4,school_bus,> 10,53,61,73
female,group D,some college,free/reduced,completed,married,regularly,no,2,private,> 10,75,77,71
male,group D,bachelor's degree,standard,none,single,sometimes,no,4,private,< 5,58,58,61
female,group A,bachelor's degree,free/reduced,none,married,never,yes,1,school_bus,< 5,61,56,65
male,group B,high school,free/reduced,none,married,sometimes,no,2,private,< 5,56,70,63
male,group E,master's degree,standard,completed,married,never,yes,0,private,> 10,83,81,79
male,group B,some college,standard,completed,single,sometimes,no,1,school_bus,> 10,83,75,74
male,group C,high school,standard,none,single,sometimes,no,1,school_bus,5 - 10,47,63,60
female,group D,high school,standard,none,married,regularly,no,4,private,5 - 10,69,63,68
male,group E,master's degree,standard,completed,married,never,yes,2,school_bus,> 10,80,89,87
female,group A,high school,standard,completed,married,regularly,yes,0,school_bus,5 - 10,64,67,69
female,group A,bachelor's degree,free/reduced,none,single,sometimes,yes,1,private,5 - 10,85,86,74
female,group B,master's degree,free/reduced,completed,married,regularly,yes,1,private,5 - 10,74,76,76
male,group C,master's degree,standard,completed,single,never,no,3,school_bus,> 10,80,80,84
female,group B,some college,free/reduced,completed,married,regularly,yes,0,school_bus,> 10,72,83,67
female,group B,master's degree,free/reduced,none,married,regularly,no,2,school_bus,5 - 10,70,74,73
female,group D,bachelor's degree,free/reduced,completed,married,never,no,1,school_bus,> 10,65,78,72
female,group A,bachelor's degree,standard,none,single,regularly,yes,2,school_bus,> 10,67,74,74
female,group C,master's degree,free/reduced,completed,single,never,yes,2,school_bus,< 5,76,72,88
male,group E,bachelor's degree,free/reduced,completed,single,sometimes,yes,3,school_bus,5 - 10,72,76,71
male,group D,bachelor's degree,free/reduced,none,single,never,no,0,school_bus,< 5,67,63,81
female,group D,master's degree,free/reduced,completed,married,never,no,0,school_bus,5 - 10,82,86,94
female,group C,high school,standard,none,married,regularly,yes,2,school_bus,5 - 10,55,55,61
female,group B,master's degree,free/reduced,none,married,never,no,4,private,< 5,63,63,72
female,group D,some college,free/reduced,none,married,never,yes,0,private,> 10,62,64,60
male,group D,master's degree,standard,completed,married,never,yes,0,school_bus,5 - 10,82,86,98
female,group B,bachelor's degree,free/reduced,none,married,regularly,no,1,school_bus,5 - 10,73,72,80
male,group E,high school,free/reduced,none,married,regularly,yes,0,private,> 10,68,73,74
male,group E,bachelor's degree,standard,completed,single,regularly,yes,4,school_bus,5 - 10,76,71,82
male,group E,master's degree,free/reduced,none,married,regularly,no,2,school_bus,> 10,66,68,75
